"商品编号","商品名称","商品品牌","状态","商品价格","全国总销量","全国总库存","总可订购","北京销量","北京库存","北京可订购","固安总体销量","固安总体库存","固安总体可订购","上海总体销量","上海总体库存","上海总体可订购","广州总体销量","广州总体库存","广州总体可订购","成都总体销量","成都总体库存","成都总体可订购","武汉总体销量","武汉总体库存","武汉总体可订购","沈阳总体销量","沈阳总体库存","沈阳总体可订购","西安总体销量","西安总体库存","西安总体可订购","海口销量","海口库存","海口可订购","德州总体销量","德州总体库存","德州总体可订购","拉萨销量","拉萨库存","拉萨可订购","临汾销量","临汾库存","临汾可订购","南京销量","南京库存","南京可订购","福州销量","福州库存","福州可订购","石家庄销量","石家庄库存","石家庄可订购","南宁销量","南宁库存","南宁可订购","乌鲁木齐销量","乌鲁木齐库存","乌鲁木齐可订购","合肥销量","合肥库存","合肥可订购","唐山销量","唐山库存","唐山可订购","济宁销量","济宁库存","济宁可订购","长沙销量","长沙库存","长沙可订购","宿迁销量","宿迁库存","宿迁可订购","衡阳销量","衡阳库存","衡阳可订购","大同销量","大同库存","大同可订购","长春销量","长春库存","长春可订购","洛阳销量","洛阳库存","洛阳可订购","北京总体销量","北京总体库存","北京总体可订购","大连销量","大连库存","大连可订购","呼和浩特销量","呼和浩特库存","呼和浩特可订购","青岛销量","青岛库存","青岛可订购","哈尔滨销量","哈尔滨库存","哈尔滨可订购","贵阳销量","贵阳库存","贵阳可订购","南昌销量","南昌库存","南昌可订购","银川销量","银川库存","银川可订购","柳州销量","柳州库存","柳州可订购","济南销量","济南库存","济南可订购","深圳销量","深圳库存","深圳可订购","郑州销量","郑州库存","郑州可订购","昆明销量","昆明库存","昆明可订购","台州销量","台州库存","台州可订购","厦门销量","厦门库存","厦门可订购","重庆销量","重庆库存","重庆可订购","荆州销量","荆州库存","荆州可订购","天津销量","天津库存","天津可订购","太原销量","太原库存","太原可订购","驻马店销量","驻马店库存","驻马店可订购","杭州销量","杭州库存","杭州可订购","兰州销量","兰州库存","兰州可订购","南充销量","南充库存","南充可订购","锦州销量","锦州库存","锦州可订购"
"4450491","【京东超市】寿全斋 红糖姜茶x2+黑糖姜茶x1 红糖 姨妈茶 速溶姜母茶老姜汤  120gx2+120g","寿全斋（SHOUQUANZHAI）","上柜","59.4000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"5130778","【京东超市】寿全斋 红糖姜块 姨妈茶 手工速溶生姜茶红糖块老姜汤姜母茶袋装 84g","寿全斋（SHOUQUANZHAI）","上柜","19.9000","9","703","721","- ","- ","- ","- ","- ","- ","2","104","104","4","128","128","0","71","91","1","91","90","2","91","91","0","34","34","0","3","3","0","10","10","0","2","2","0","0","0","1","0","0","- ","- ","- ","- ","- ","- ","2","0","0","0","0","0","0","0","0","0","3","3","0","1","1","0","4","4","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","0","174","173","1","0","0","0","1","1","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","0","2","2","0","0","0","- ","- ","- ","1","18","18","1","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","4","4","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"2338971","【京东超市】寿全斋 暖心搭配礼盒 红糖姜茶120gx2盒+红枣片45gx1盒+玫瑰花茶30gx1盒 速溶姜母茶 姜枣茶 花草茶","寿全斋（SHOUQUANZHAI）","上柜","79.0000","17","555","555","- ","- ","- ","0","0","0","6","130","131","6","86","86","0","124","124","3","122","121","1","19","19","0","17","17","0","0","0","0","11","11","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","0","1","1","0","3","3","2","0","1","- ","- ","- ","- ","- ","- ","2","2","2","0","3","3","- ","- ","- ","- ","- ","- ","0","2","2","0","1","1","1","46","46","0","1","1","0","1","1","0","1","1","1","1","1","0","1","1","0","4","4","0","2","2","- ","- ","- ","0","0","0","1","9","9","1","3","3","0","0","0","0","5","5","0","2","2","0","2","2","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","22","22","0","1","1","0","4","4","- ","- ","- "
"4103577","【京东超市】寿全斋 朕的心意 妃常暖红糖姜茶 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","39.0000","0","1444","1443","- ","- ","- ","0","0","0","0","292","292","0","305","305","0","108","108","0","24","24","0","64","64","0","17","17","0","8","8","0","105","105","- ","- ","- ","- ","- ","- ","0","13","13","0","7","7","0","37","37","0","4","4","0","6","6","0","8","8","0","0","0","0","0","0","0","6","6","0","1","1","0","2","2","- ","- ","- ","0","2","2","- ","- ","- ","0","529","528","0","4","4","0","2","2","0","4","4","0","6","6","0","10","10","0","2","2","0","3","3","0","6","6","- ","- ","- ","0","36","36","0","0","0","0","8","8","0","5","5","0","3","3","0","15","15","- ","- ","- ","0","0","0","0","3","3","0","4","4","0","62","62","0","8","8","- ","- ","- ","0","3","3"
"3502242","【京东超市】寿全斋 黑糖姜茶 姨妈茶 速溶生姜茶姜母茶老姜汤 50支装 600g","寿全斋（SHOUQUANZHAI）","上柜","129.0000","2","183","180","- ","- ","- ","0","2","2","0","54","54","0","60","60","0","14","14","1","16","15","0","3","3","1","3","3","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","31","29","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","2","2","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4336995","【京东超市】寿全斋 花草茶 冻干柠檬片水果茶 泡水蜂蜜柠檬花茶 40gx2（2盒装）","寿全斋（SHOUQUANZHAI）","上柜","59.8000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4450489","【京东超市】寿全斋 红糖姜茶+黑糖姜茶 红糖 姨妈茶 姜枣茶 速溶姜母茶老姜汤  120g+120g","寿全斋（SHOUQUANZHAI）","上柜","39.6000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"1707172","【京东超市】寿全斋 陈皮酸梅汤十支装 固体饮料 150g","寿全斋（SHOUQUANZHAI）","上柜","27.0000","5","1546","1539","- ","- ","- ","0","0","0","1","476","473","2","182","180","0","128","127","0","393","392","0","55","55","1","92","92","0","2","2","0","96","96","- ","- ","- ","- ","- ","- ","0","52","52","0","14","14","0","8","8","0","0","0","0","7","7","0","0","0","0","6","6","- ","- ","- ","0","1","1","0","4","4","- ","- ","- ","0","7","7","- ","- ","- ","0","1","1","1","124","124","0","5","5","0","2","2","0","18","18","0","3","3","0","3","3","0","0","0","0","3","3","0","0","0","0","0","0","0","32","32","0","0","0","0","3","2","- ","- ","- ","0","3","3","0","10","10","- ","- ","- ","0","0","0","0","5","5","0","1","1","0","69","69","0","3","3","0","1","1","0","5","5"
"2297726","【京东超市】寿全斋 花草茶 玫瑰花茶 35g/盒","寿全斋（SHOUQUANZHAI）","上柜","25.0000","2","253","253","- ","- ","- ","0","0","0","1","51","51","1","70","70","0","33","33","0","31","31","0","10","10","0","5","5","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","0","52","52","0","4","4","0","2","2","0","0","0","0","1","1","0","1","1","0","1","1","0","1","1","- ","- ","- ","0","0","0","0","0","0","0","0","0","0","2","2","- ","- ","- ","0","0","0","0","1","1","- ","- ","- ","0","0","0","0","1","1","- ","- ","- ","0","2","2","0","0","0","- ","- ","- ","- ","- ","- "
"3502220","【京东超市】寿全斋 红枣姜茶 姨妈茶 姜枣茶 速溶生姜茶姜母茶老姜汤 50支装 600g","寿全斋（SHOUQUANZHAI）","上柜","127.0000","3","241","240","- ","- ","- ","2","0","0","0","42","41","0","50","50","0","48","48","1","20","20","0","9","9","0","13","13","- ","- ","- ","0","14","14","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","0","45","45","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","2","2","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","2","0","0","- ","- ","- ","- ","- ","- ","0","6","6","- ","- ","- ","- ","- ","- ","- ","- ","- "
