"商品编号","商品名称","商品品牌","状态","商品价格","全国总销量","全国总库存","总可订购","北京销量","北京库存","北京可订购","固安总体销量","固安总体库存","固安总体可订购","上海总体销量","上海总体库存","上海总体可订购","广州总体销量","广州总体库存","广州总体可订购","成都总体销量","成都总体库存","成都总体可订购","武汉总体销量","武汉总体库存","武汉总体可订购","沈阳总体销量","沈阳总体库存","沈阳总体可订购","西安总体销量","西安总体库存","西安总体可订购","厦门销量","厦门库存","厦门可订购","长沙销量","长沙库存","长沙可订购","天津销量","天津库存","天津可订购","青岛销量","青岛库存","青岛可订购","哈尔滨销量","哈尔滨库存","哈尔滨可订购","贵阳销量","贵阳库存","贵阳可订购","深圳销量","深圳库存","深圳可订购","郑州销量","郑州库存","郑州可订购","昆明销量","昆明库存","昆明可订购","呼和浩特销量","呼和浩特库存","呼和浩特可订购","台州销量","台州库存","台州可订购","杭州销量","杭州库存","杭州可订购","长春销量","长春库存","长春可订购","南充销量","南充库存","南充可订购","洛阳销量","洛阳库存","洛阳可订购","重庆销量","重庆库存","重庆可订购","荆州销量","荆州库存","荆州可订购","北京总体销量","北京总体库存","北京总体可订购","大连销量","大连库存","大连可订购","海口销量","海口库存","海口可订购","德州总体销量","德州总体库存","德州总体可订购","拉萨销量","拉萨库存","拉萨可订购","临汾销量","临汾库存","临汾可订购","南昌销量","南昌库存","南昌可订购","银川销量","银川库存","银川可订购","柳州销量","柳州库存","柳州可订购","南京销量","南京库存","南京可订购","乌鲁木齐销量","乌鲁木齐库存","乌鲁木齐可订购","唐山销量","唐山库存","唐山可订购","太原销量","太原库存","太原可订购","驻马店销量","驻马店库存","驻马店可订购","济南销量","济南库存","济南可订购","福州销量","福州库存","福州可订购","石家庄销量","石家庄库存","石家庄可订购","南宁销量","南宁库存","南宁可订购","合肥销量","合肥库存","合肥可订购","济宁销量","济宁库存","济宁可订购","兰州销量","兰州库存","兰州可订购","宿迁销量","宿迁库存","宿迁可订购","衡阳销量","衡阳库存","衡阳可订购","锦州销量","锦州库存","锦州可订购","大同销量","大同库存","大同可订购"
"4521540","【京东超市】寿全斋 红糖姜茶 姨妈茶速溶姜母茶老姜汤 12克*30条量贩分享装共360克","寿全斋（SHOUQUANZHAI）","上柜","60.0000","213","3777","4445","- ","- ","- ","11","20","20","40","837","877","36","534","622","15","779","777","23","308","307","12","279","279","22","230","422","5","10","8","5","3","3","11","20","20","0","0","0","4","10","10","1","1","0","5","0","0","6","9","9","0","9","9","3","1","1","0","4","4","0","95","135","0","5","5","0","4","4","0","5","5","3","22","21","0","1","1","31","787","1138","2","13","13","9","1","1","23","3","3","0","2","2","- ","- ","- ","3","10","9","8","5","20","0","2","2","7","171","171","1","20","18","2","60","60","0","0","0","0","6","6","16","0","0","1","14","14","0","0","0","1","9","9","3","6","6","0","3","3","4","10","10","11","5","5","0","1","1","1","5","5","0","1","3"
"4928460","【京东超市】寿全斋 朕的心意 妃常暖紫米燕麦姜饮 姜茶姜汤速溶 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","39.0000","1","364","363","- ","- ","- ","0","0","0","0","63","63","1","79","79","0","38","38","0","30","30","0","22","22","0","48","48","0","7","7","0","2","2","0","0","0","0","3","3","0","14","14","0","9","9","0","16","16","0","0","0","0","6","6","- ","- ","- ","- ","- ","- ","0","12","12","0","0","0","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","0","64","63","0","6","6","- ","- ","- ","0","20","20","- ","- ","- ","- ","- ","- ","0","5","5","0","2","2","0","1","1","0","15","15","0","12","12","- ","- ","- ","0","5","5","0","1","1","- ","- ","- ","0","9","9","0","1","1","0","11","11","0","0","0","- ","- ","- ","0","3","3","0","0","0","0","15","15","- ","- ","- ","- ","- ","- "
"1273862","【京东超市】寿全斋 姜茶套装：红糖姜茶3盒+黑糖姜茶1盒 姨妈茶  速溶姜母茶老姜汤 480g","寿全斋（SHOUQUANZHAI）","上柜","69.0000","691","14603","14808","- ","- ","- ","25","66","64","137","2800","2836","173","5310","5312","57","1037","1071","70","1127","1151","48","554","668","43","745","754","14","10","0","11","7","36","25","66","64","0","43","42","9","20","18","0","0","5","44","392","409","20","35","34","6","9","7","4","12","10","0","4","4","16","190","237","8","13","13","0","8","8","0","10","10","10","0","34","0","5","5","96","2640","2633","5","17","17","5","2","11","42","324","319","0","5","5","2","3","3","5","20","17","2","6","5","3","12","12","20","131","128","3","3","21","0","2","11","0","35","33","3","21","21","11","0","0","7","2","2","0","23","22","4","22","16","9","22","21","3","4","3","5","10","8","11","9","9","1","3","3","4","3","3","0","5","5"
"3502216","【京东超市】寿全斋 小儿姜茶 固态生姜茶饮料 儿童姜母茶姜汤 甜味固体冲剂6g*12包 72g","寿全斋（SHOUQUANZHAI）","上柜","25.0000","14","390","534","- ","- ","- ","0","1","1","2","149","221","6","76","76","1","32","32","4","20","20","0","22","22","1","3","3","0","0","0","4","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","15","15","0","1","1","- ","- ","- ","0","5","5","- ","- ","- ","0","3","3","0","3","3","- ","- ","- ","- ","- ","- ","0","4","4","- ","- ","- ","0","49","121","0","1","1","0","0","0","0","38","38","- ","- ","- ","- ","- ","- ","0","2","2","0","0","0","0","1","1","0","7","43","0","1","1","- ","- ","- ","0","2","2","0","2","2","0","0","0","2","2","2","- ","- ","- ","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
"2098795","【京东超市】寿全斋 红糖姜茶 姨妈茶 速溶姜母茶老姜汤 50支装 600g","寿全斋（SHOUQUANZHAI）","上柜","125.0000","27","468","465","- ","- ","- ","0","0","1","3","92","92","6","142","139","1","45","45","3","25","25","10","34","34","1","40","40","1","11","11","0","2","2","0","0","1","0","0","0","0","3","3","0","2","2","1","3","3","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","3","3","3","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","3","81","80","8","1","1","- ","- ","- ","0","9","9","- ","- ","- ","- ","- ","- ","0","4","4","0","1","1","0","1","1","- ","- ","- ","1","2","2","- ","- ","- ","0","0","0","1","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","0","1","1","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4139646","【京东超市】寿全斋 暖贡姜茶礼盒 红糖红枣枸杞姜茶老姜汤姨妈茶姜枣茶 12gx30条 360g","寿全斋（SHOUQUANZHAI）","上柜","256.0000","21","909","908","- ","- ","- ","4","0","0","1","18","18","2","4","4","2","0","0","2","2","2","3","3","3","2","2","2","0","0","0","- ","- ","- ","4","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","0","2","2","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","1","880","879","- ","- ","- ","0","2","2","4","0","0","- ","- ","- ","- ","- ","- ","2","0","0","0","1","1","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","- ","- ","- ","- ","- ","- ","0","1","1","- ","- ","- ","- ","- ","- ","- ","- ","- ","1","0","0","0","0","0","2","0","0","- ","- ","- "
"4928458","【京东超市】寿全斋 朕的心意 妃常暖红豆薏仁姜饮 姜茶姜汤速溶 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","39.0000","25","1182","1189","- ","- ","- ","1","0","0","4","312","314","5","299","300","5","123","126","2","159","159","1","1","1","1","85","89","1","2","2","1","3","3","1","0","0","0","3","3","0","0","0","0","5","5","1","5","5","1","5","5","2","1","4","0","7","7","0","1","1","0","1","2","0","0","0","1","2","2","- ","- ","- ","0","6","6","0","2","2","6","88","85","1","1","1","- ","- ","- ","0","115","115","- ","- ","- ","0","4","4","0","1","1","0","3","3","0","4","4","1","2","2","0","0","4","0","9","9","0","2","2","0","1","1","- ","- ","- ","1","0","1","0","14","14","0","3","3","1","3","3","0","14","14","1","7","7","2","0","1","0","0","0","- ","- ","- ","0","10","10"
"1518901","【京东超市】寿全斋 胎菊 菊花茶 杭白菊 35g/罐","寿全斋（SHOUQUANZHAI）","上柜","26.0000","6","495","491","- ","- ","- ","0","0","0","1","149","149","1","149","149","1","45","41","1","7","7","1","9","9","0","16","16","0","3","3","0","0","0","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","0","3","3","0","3","3","0","1","1","- ","- ","- ","- ","- ","- ","0","4","4","- ","- ","- ","0","1","1","- ","- ","- ","0","0","0","- ","- ","- ","1","76","76","0","0","0","0","0","0","0","44","44","- ","- ","- ","- ","- ","- ","0","0","0","- ","- ","- ","- ","- ","- ","0","0","0","0","0","0","- ","- ","- ","0","0","0","0","0","0","0","0","0","1","4","4","- ","- ","- ","0","2","2","0","4","4","- ","- ","- ","0","0","0","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4365817","【京东超市】寿全斋 花草茶 大麦茶 袋泡茶 5g*50包 共250gx2（2袋装）","寿全斋（SHOUQUANZHAI）","上柜","52.0000","0","0","0","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- ","- "
"4103577","【京东超市】寿全斋 朕的心意 妃常暖红糖姜茶 姨妈茶 速溶姜母茶老姜汤 10支装 120g","寿全斋（SHOUQUANZHAI）","上柜","39.0000","7","1458","1458","- ","- ","- ","1","0","0","2","293","293","4","307","307","0","112","112","0","24","24","0","64","64","0","17","17","0","3","3","0","6","6","1","0","0","0","4","4","0","6","6","0","11","11","0","36","36","0","0","0","0","8","8","0","2","2","0","5","5","0","62","62","0","2","2","- ","- ","- ","- ","- ","- ","0","15","15","- ","- ","- ","0","535","535","0","4","4","0","8","8","0","106","106","- ","- ","- ","- ","- ","- ","0","2","2","0","3","3","0","6","6","0","13","13","0","6","6","0","0","0","0","3","3","0","4","4","- ","- ","- ","0","7","7","0","37","37","2","4","4","1","8","8","0","0","0","0","8","8","1","0","0","0","2","2","0","3","3","- ","- ","- "
